Movie_Title,Rating,Vote_Count,Runtime,Genre
The Mortician,None,None,16+,Action
RSVP,4.7,380,None,Action
The Heist,6.9,2K,2h,Action
Tòkunbò,3.9,300,1h 53m,Action
Formed Police Unit,4.7,1.4K,2h,Action
Mutant,4.4,115,1h 30m,Action
Kizumonogatari: Koyomi Vamp,7.0,108,2h 24m,Action
The Experts,6.1,304,2h 1m,Action
Aserb: The Squadron,5.2,322,2h,Action
Babu,7.2,188,2h 22m,Action
Vixen,5.3,342,1h 28m,Action
Paradise,6.9,82,1h 23m,Action
Chaari 111,4.8,267,2h 10m,Action
Mazhai Pidikatha Manithan,4.5,429,2h 13m,Action
Mirza: Part 1 - Joker,6.8,242,2h 45m,Action
Exorcism Chronicles: The Beginning,6.3,128,1h 25m,Action
Buddy,3.8,358,2h 17m,Action
UmroAyyar - A New Beginning,6.9,678,2h 15m,Action
Prepare to Die,4.5,244,1h 33m,Action
The Day Everything Changed,8.0,80,1h 37m,Action
The Bouncer,4.1,100,1h 18m,Action
Sabari,6.5,5.4K,2h 9m,Action
Yuva,5.7,848,2h 33m,Action
Super Vixens 8,None,None,1h 10m,Action
My Fathers' Daughter,6.5,83,1h 18m,Action
Star Abyss,3.8,265,1h 26m,Action
Andromeda: 1883,4.0,19,1h 15m,Action
Camp Blood: Clown Shark,3.2,93,1h 10m,Action
Spirit Riser,6.6,37,1h 38m,Action
Sayen: The Huntress,4.4,260,1h 28m,Action
Thiragabadara Saami,3.9,117,1h 55m,Action
The Grey Men,6.5,74,1h 37m,Action
Appudo Ippudo Eppudo,4.7,235,2h,Action
My Redneck Neighbor: Chapter 2 - Let the Games Begin,5.8,10,55m,Action
Tariq,6.2,18,2h 2m,Action
The Captives,3.5,68,1h 13m,Action
London Gangsters,4.6,12,1h 44m,Action
The Slave and the Sorcerer,6.6,44,1h 26m,Action
Super Vixens 7,None,None,1h 7m,Action
Firework,6.1,13,1h,Action
Hakkenden,6.0,81,2h 29m,Action
Day Labor,6.1,96,None,Action
Red vs. Blue: Restoration,5.6,144,1h 25m,Action
Türkler Çildirmis Olmali 2: Mavi Vatan,2.1,168,1h 40m,Action
The Miranda Brothers,4.4,191,1h 39m,Action
Buying Time,6.4,504,1h 24m,Action
Hrashwo Deergha,7.6,102,2h 30m,Action
The Desperate Chase,5.6,73,1h 50m,Action
Atypical Pirate,None,None,None,Action
Shekko,5.9,611,2h,Action
Rocky the Slave,None,None,2h 11m,Action
Sentinelese,None,None,1h 30m,Action
Kill Craft,2.5,376,1h 39m,Action
Samandar,7.7,141,2h 52m,Action
Tokusou Sentai Dekaranger 20th: Fireball Booster,7.1,38,50m,Action
Bolero,3.1,29,None,Action
Mission: Chapter 1,5.9,1.7K,2h 24m,Action
Team of Two,4.9,115,None,Action
Desperado,6.0,152,1h 40m,Action
South Side Hero,5.6,38,1h 32m,Action
Death Game,6.3,26,1h 28m,Action
Kadakan,4.0,114,2h 8m,Action
Ten Toes Down,7.5,37,None,Action
Last Straw,None,None,1h 44m,Action
Behind Enemy Lines,5.8,13,None,Action
Fyre Rises,6.1,327,1h 50m,Action
Bandaa Singh Chaudhary,6.0,5.3K,1h 53m,Action
Bloody Escape: Bats out of Hell,5.4,58,1h 40m,Action
Naag Bhoomi,5.7,9,2h 10m,Action
Purushothamudu,7.8,22,2h,Action
Delivery Run,7.2,18,None,Action
Re Xue Ran Shao,7.3,57,1h 53m,Action
Mavr,6.3,10,1h 23m,Action
The Circuit 4: Faith Fighter,4.5,92,1h 30m,Action
Diabel,5.0,282,1h 48m,Action
Thankamani,4.6,233,2h 36m,Action
Andromeda 2,3.1,90,None,Action
Oru Anveshanathinte Thudakkam,6.9,834,3h 1m,Action
Hotel Underground,7.7,76,None,Action
Breaking and Re-entering,5.8,463,1h 49m,Action
Game On,5.2,2.3K,2h 20m,Action
Kung Fu Games,3.3,391,1h 38m,Action
Playground,None,None,1h 28m,Action
Neo-Dome,6.6,18,15m,Action
Mega Twister,2.7,57,1h 15m,Action
Seetha Kalyana Vaibhogame,8.6,2K,2h 26m,Action
Waspzilla,4.4,139,1h 20m,Action
Sentimentaaal,4.9,991,2h 15m,Action
Black Storm,6.7,70,1h 37m,Action
Ronny - The ruler,9.2,43,None,Action
Rock 'N' Roll Ringo,6.1,61,1h 41m,Action
Nothing Even Matters,5.8,84,1h 30m,Action
The Omicron Killer,2.9,598,1h 38m,Action
Fuuto PI: Portrait of Kamen Rider Skull,7.3,50,1h 22m,Action
Kaalapatthar,6.2,1K,1h 53m,Action
Shu Si Yi Bo,6.7,39,1h 31m,Action
Transformers Prime: Galavatron's Revenge,4.5,16,1h 44m,Action
Day Off,3.6,12,None,Action
Pariah Volume 1: Every Street Dog Has a Name,6.8,393,2h 18m,Action
Where Is Gilgamesh?,8.9,640,1h 30m,Action
Timuchin,5.9,33,1h 18m,Action
The Last Chainsaw Massacre,3.7,43,1h 15m,Action
The Vampire and the Vigilante,3.6,54,1h 15m,Action
The Wolfman,None,None,None,Action
Iddaru,8.7,297,2h 28m,Action
Dark World,4.9,19,2h 15m,Action
Uttarakaanda,None,None,None,Action
