Movie_Title,Rating,Vote_Count,Runtime,Genre
Common Sense,2.7,20,1h 8m,crime
The Bottom Line,6.7,14,1h 47m,crime
The Storm,None,None,1h 38m,crime
Tres Cruces,None,None,None,crime
Traitor,None,None,1h 30m,crime
Against the Spread,8.6,14,None,crime
Untouchable,4.5,89,1h 52m,crime
Insurance Jimmy,6.5,150,1h 50m,crime
Cafe 404,7.2,43,1h 33m,crime
Laandhar,4.2,98,1h 57m,crime
Nero,7.3,7,1h 45m,crime
Holiday Hold-Up,5.6,71,1h 29m,crime
Hain,2.9,51,1h 35m,crime
Rangeli,9.1,112,2h 20m,crime
Dark Forest,None,None,None,crime
Chitram Choodara,4.5,15,2h 7m,crime
Then Came the Bottle Girls,None,None,1h 19m,crime
Brattt,4.7,67,1h 57m,crime
Thirumbipaar,6.1,241,1h 41m,crime
Con Queens,5.9,22,1h 20m,crime
Thozhar Che Guevara,5.1,37,2h,crime
Kingdom Reign,8.4,38,1h 59m,crime
Diari de la meva sextorsió,6.6,55,1h 4m,crime
La Tamalera,8.4,10,1h 55m,crime
Goon Squad,6.6,20,None,crime
Kala Ratri,6.8,15,2h 2m,crime
Landkrimi: Steirergift,6.4,73,1h 30m,crime
The Victims,5.9,90,1h 39m,crime
Trouble in Mocoville,8.7,10,None,crime
Deal at the Border,7.8,11,1h 44m,crime
Marty's Big Poker Night,None,None,1h 23m,crime
G - 21 scener från Gottsunda,6.9,194,1h 20m,crime
Valleyheart,8.6,38,1h 38m,crime
Dream Lock,8.6,23,1h 40m,crime
Little Black Submarines,6.9,58,2h 3m,crime
Varchasva,None,None,None,crime
Haunting Trophies,6.6,76,2h 30m,crime
Hani,None,None,1h 13m,crime
Money Calling 2,None,None,None,crime
Treasures of Terror: Vol 2,3.4,11,None,crime
Myall Creek Day of Justice,6.4,17,1h 18m,crime
Dark Deceptions,6.2,36,1h 22m,crime
Crime Reel,7.5,141,1h 51m,crime
The Cold Ground,None,None,2h 32m,crime
Three Days or Else,7.8,26,None,crime
The Kills,8.8,9,1h 10m,crime
Blue Christmas,5.8,21,1h 19m,crime
The Jealous Ex,None,None,1h 9m,crime
Cursed in Baja,6.3,29,1h 20m,crime
We Run These Streets,None,None,1h 24m,crime
Treasures of Terror: Vol 1,4.2,20,None,crime
Bond of Justice: Kizuna Part II - Judgement,None,None,1h 28m,crime
Halfway House Series,None,None,1h 40m,crime
I Awoke Early the Day I Died,None,None,1h 30m,crime
4N6,9.6,62,1h 57m,crime
A Reel Heist,5.2,58,1h 56m,crime
Raktaksha,7.9,1.4K,1h 58m,crime
